turn_id,asked_at_vn,student,lecture_code,lecture_title,student_question,tutor_reply,move_used,rating,heuristic_signal
T13483,2026-09-15 17:35,S0944,D01,Day01,"(Đang học phần “day01-slide-v2-blue” của buổi này)
này nghĩa là sao?? Tóm tắt lại điểm hạn chế của RNN là gì

Đoạn đang hỏi: “Nút thắt của RNN: đọc hết rồi mới nói — từng bước một”","Điểm hạn chế cốt lõi của RNN là cơ chế xử lý tuần tự ""từng bước một"" [trang 53]. Điều này dẫn đến hai nút thắt chính:

1.  **Quên thông tin (Cổ chai):** Vì RNN nén toàn bộ nội dung một câu dài vào một vector duy nhất để ghi nhớ (giống như trí nhớ ngắn hạn), những từ ở đầu câu sẽ dần bị ""mờ"" đi khi câu quá dài [trang 53].
2.  **Khó mở rộng (Không song song được):** Vì RNN phải đợi xử lý xong từ trước đó mới có thể đọc từ tiếp theo, nên hệ thống không thể chạy song song. Điều này khiến việc huấn luyện rất chậm và khó scale lên các model lớn [trang 53].",review_concept,,True
T01526,2026-07-30 10:00,S1457,D11,day01_302,"(Trang 3, đoạn được chọn: ""Ai chatbot khác gì agent"")
Ai chatbot khác gì agent","Sự khác biệt cơ bản giữa AI chatbot và AI agent nằm ở khả năng thực hiện hành động và sự tự chủ:

*   **AI Chatbot:** Thường được thiết kế để tập trung vào việc giao tiếp, trả lời câu hỏi hoặc hỗ trợ hội thoại dựa trên dữ liệu được huấn luyện. Vai trò chính của nó là tương tác ngôn ngữ với người dùng.
*   **AI Agent:** Vượt xa hơn chatbot ở khả năng tự thực hiện các nhiệm vụ (task-oriented). Agent có thể chủ động đưa ra quyết định, sử dụng các công cụ (tools) để tương tác với môi trường bên ngoài và hoàn thành một quy trình công việc phức tạp nhằm đạt được mục tiêu cụ thể mà không cần con người chỉ dẫn từng bước.

Tóm lại, trong khi chatbot chủ yếu ""nói"" và cung cấp thông tin, thì agent có thể ""hành động"" để giải quyết vấn đề cho bạn.",review_concept,,True
T00756,2026-07-27 16:26,S1127,D03,Day03,"(Trang 30, đoạn được chọn: ""Function Calling
■ Dev khai báo tool bằng JSON
Schema: tên, mô tả, tham số
■ Model trả về structured object
khớp schema
■ Không cần viết regex để đọc
output"")
giải thích rõ hơn","Function Calling là một khả năng quan trọng giúp AI Agent tương tác với thế giới bên ngoài thay vì chỉ tạo ra văn bản thuần túy. Thay vì bạn phải tự viết mã (code) để phân tích (parse) nội dung trả về từ LLM (vốn thường ở dạng text không cấu trúc), bạn có thể định nghĩa sẵn các ""công cụ"" (tools) mà model được phép sử dụng.

Cách hoạt động cụ thể như sau:

1.  **Khai báo (Tool Definition):** Bạn cung cấp cho model các định nghĩa về công cụ dưới dạng JSON Schema. Trong đó bao gồm tên công cụ, mô tả chức năng của nó (ví dụ: ""dùng để tra cứu thời tiết"") và danh sách các tham số cần thiết. Việc mô tả này giúp model hiểu rõ khi nào và làm thế nào để sử dụng công cụ đó.
2.  **Yêu cầu từ Model:** Khi người dùng đặt câu hỏi cần dùng đến công cụ (ví dụ: ""Thời tiết ở Hà Nội hôm nay thế nào?""), thay vì trả lời bằng văn bản, model sẽ tạo ra một đối tượng dữ liệu (structured object) chứa tên công cụ và các tham số đã trích xuất từ câu hỏi (ví dụ: `function: ""get_weather"", parameters: {""location"": ""Hanoi""}`).
3.  **Thực thi và Phản hồi:** Hệ thống của bạn sẽ nhận được đối tượng có cấu trúc này, tự động chạy mã lệnh tương ứng để lấy dữ liệu thực tế (ví dụ từ API thời tiết) và gửi kết quả đó ngược lại cho model để tổng hợp câu trả lời cuối cùng cho người dùng.

Điểm quan trọng nhất là bạn không cần dùng các kỹ thuật xử lý chuỗi phức tạp như Regex để ""cắt dán"" văn bản do model tạo ra, giúp việc kết nối AI với các hệ thống phần mềm khác trở nên chính xác và tin cậy hơn nhiều.",review_concept,,True
T00985,2026-07-28 16:13,S0119,D04,Day04,"(Trang 33, đoạn được chọn: ""đọc trang 33 *(slide 28) tìm cho tôi 3 lỗi"")
đọc trang 33 *(slide 28) tìm cho tôi 3 lỗi","Rất xin lỗi bạn, trong tài liệu của ngày học này, nội dung tại trang 33 (slide 28) không đề cập đến việc liệt kê cụ thể ""3 lỗi"" như bạn yêu cầu. Có thể đây là một phần nội dung được trình bày trực tiếp trên lớp hoặc nằm trong một tài liệu bổ sung khác.

Bạn có thể cung cấp thêm ngữ cảnh về 3 lỗi đó liên quan đến chủ đề gì (ví dụ: lỗi khi thiết kế prompt cho tool calling, lỗi cú pháp, hay lỗi logic) để mình hỗ trợ bạn tra cứu thông tin chính xác hơn không?",review_concept,,True
T12165,2026-09-13 10:20,S0361,D04,DAY03,"(Đang học phần “Day03: Từ chatbot đến agentic agent react (Mr. [HV])” của buổi này)
FAQ nội bộ HR tại sao lại chỉ dùng 1 tooll","Chào [HV], dựa trên **Scoring Matrix** (Bảng chấm điểm use case) tại trang 175, ""FAQ nội bộ HR"" được đánh giá là 3 điểm, tức là nằm trong nhóm **0–5 điểm** [trang 175].

Với mức điểm này, tài liệu khuyến nghị rằng **chatbot hoặc rule-based bot là đã đủ** để giải quyết vấn đề [trang 175]. Lý do cụ thể như sau:

*   **Tính chất công việc:** FAQ HR thường là các câu hỏi lặp lại, có intent (ý định) khá ổn định và dữ liệu ít thay đổi [trang 185].
*   **Không cần Agent:** Các tác vụ này không đòi hỏi khả năng lập kế hoạch phức tạp (multi-step reasoning), không cần quyết định động (dynamic decision) hay phải duy trì mục tiêu qua nhiều vòng lặp [trang 180, 185].
*   **Tại sao chỉ dùng ít tool:** Việc thêm nhiều tool hoặc sử dụng Agent cho các tác vụ FAQ là **overkill (quá mức cần thiết)**. Nó sẽ làm tăng chi phí token, tăng độ trễ (latency) và khiến hệ thống khó debug hơn mà không mang lại giá trị gia tăng tương xứng so với một chatbot đơn giản có tích hợp RAG (Retrieval-Augmented Generation) [trang 185].

Tóm lại, vì FAQ nội bộ HR là bài toán có độ phức tạp thấp, không yêu cầu các khả năng cao cấp của Agent, nên việc dùng hệ thống đơn giản là phương án tối ưu về cả chi phí lẫn hiệu năng [trang 175, 185].",review_concept,,True
T10405,2026-09-10 14:41,S1213,D01,Day01,"(Đang học phần “Phân biệt AI, Machine Learning, Generative AI và LLM (bắt buộc xem)” của buổi này)
LLM là gì","Chào [HV],

Vì nội dung của đoạn video em đang xem chưa có dạng văn bản, anh chưa thể trích xuất chính xác định nghĩa từ tài liệu bài giảng cho em. Tuy nhiên, dựa trên kiến thức về chủ đề này, anh có thể giúp em hiểu như sau:

LLM là viết tắt của **Large Language Model** (Mô hình Ngôn ngữ Lớn). Đây là một loại trí tuệ nhân tạo được huấn luyện trên một lượng dữ liệu văn bản khổng lồ để hiểu, tạo ra và tương tác bằng ngôn ngữ tự nhiên (giống cách con người giao tiếp).

Đúng như tên gọi của nó:
*   **Large (Lớn):** Chỉ việc mô hình này có số lượng tham số rất lớn và được đào tạo trên tập dữ liệu dữ liệu khổng lồ.
*   **Language (Ngôn ngữ):** Tập trung vào việc xử lý, hiểu và tạo ra văn bản.
*   **Model (Mô hình):** Là hệ thống AI được xây dựng dựa trên các thuật toán học sâu (Deep Learning).

Khi nào có nội dung tài liệu cụ thể của buổi này, anh sẽ có thể chỉ dẫn chi tiết hơn cho em dựa trên slide bài giảng nhé.",review_concept,,True
T03348,2026-07-30 15:03,S0121,D05,Day05,"(Trang 8, đoạn được chọn: ""Bạn noí sai rồi tìm lại đi"")
Bạn noí sai rồi tìm lại đi","Cảm ơn bạn đã nhắc nhở. Tôi vừa kiểm tra lại tài liệu bài giảng Day 05 để làm rõ nội dung.

Dựa trên slide bài giảng, Day 05 bao gồm các nội dung chính sau:
1. Product thinking cho AI.
2. Responsible AI fundamentals.
3. User research cho AI products.
4. Requirements engineering.
5. PRD anatomy cho AI products.
6. User stories cho AI.
7. Risk register & go/no-go.
8. Lab 5 và deliverable cuối buổi [trang 3].

Mục tiêu cụ thể của buổi học là giúp học viên hiểu sự khác biệt giữa AI product và software feature thông thường, cách chuyển đổi user needs thành requirements, cách viết PRD, và kỹ năng lập risk register với logic `likelihood × impact` [trang 4].

Rất xin lỗi nếu thông tin trước đó gây nhầm lẫn. Bạn có muốn tôi giải thích chi tiết hơn về bất kỳ mục nào trong danh sách này không?",review_concept,,True
T06730,2026-08-18 09:33,S1203,D03,Day18 - Track2 - Data Lakehouse Architecture,"(Trang 1)
(Đang học phần “Day18-Track02-Data_Lakehouse_Architecture” của buổi này)
Vì sao 10 TB lại trở thành ""ác mộng"" trong Data Lake?","Tại quy mô 10 TB, phương pháp lưu trữ dữ liệu truyền thống theo kiểu ""đổ tất cả vào S3"" mà không có lớp quản lý trở thành ""ác mộng"" vì ba lý do chính:

1.  **Thiếu tính toàn vẹn (ACID):** Khi không có các đặc tính ACID, việc thực hiện các thao tác cập nhật (update) hoặc xóa (delete) dữ liệu trên quy mô lớn rất dễ gây lỗi hoặc tạo ra các trạng thái dữ liệu dở dang, không nhất quán [trang 2, 9].
2.  **Khó khăn trong truy vấn và hiệu năng:** Ở mức 10 TB, nếu không có cơ chế quản lý metadata (như bảng mục lục để biết tệp nào chứa dữ liệu gì), hệ thống buộc phải quét qua toàn bộ dữ liệu (full scan) để tìm kiếm. Điều này cực kỳ tốn kém về thời gian và chi phí I/O [trang 6, 25].
3.  **Vấn đề tệp nhỏ (Small-file problem):** Khi dữ liệu tích tụ theo thời gian mà không có cơ chế maintenance (bảo trì) như Compaction hay Z-ORDER, hệ thống sẽ chứa hàng triệu tệp nhỏ. Điều này làm chậm quá trình lập kế hoạch truy vấn (query planning) và làm quá tải metadata layer [trang 18, 24].

Kiến trúc **Data Lakehouse** giải quyết vấn đề này bằng cách thêm một lớp **metadata layer** (như Delta Lake hoặc Iceberg) lên trên object storage (S3). Lớp này cung cấp các tính năng như ACID transactions, index, và tối ưu hóa tệp, giúp hệ thống duy trì được hiệu năng và độ tin cậy ngay cả khi dữ liệu tăng trưởng lên mức PB [trang 6, 9].",review_concept,,True
T11007,2026-09-11 11:31,S1016,D01,Day01,"(Đang học phần “day01-llm-foundation-1” của buổi này)
Vậy Decoder-Encoder còn có được sử dụng không hay sẽ bị loại bỏ","Kiến trúc Encoder-Decoder **không hề bị loại bỏ**, nhưng vai trò của nó đã thay đổi. Nó vẫn được sử dụng rộng rãi và cực kỳ hiệu quả trong các lĩnh vực chuyên biệt thay vì là ""trái tim"" của mọi ứng dụng GenAI như Decoder-only [trang 137].

Dưới đây là lý do tại sao nó vẫn tồn tại song song:

*   **Chuyên biệt cho các tác vụ hiểu (Understanding):** Những mô hình mạnh về Encoder (như dòng BERT) vẫn là lựa chọn hàng đầu cho các tác vụ không cần ""sinh"" nội dung mới, mà cần sự phân tích chính xác như: phân loại cảm xúc, gán nhãn thực thể, tóm tắt trích xuất dữ liệu, hoặc lọc spam [trang 122, 137].
*   **Sự kết hợp (Hybrid):** Nhiều hệ thống hiện đại sử dụng kiến trúc kết hợp, nơi Encoder đóng vai trò ""đọc và hiểu"" dữ liệu đầu vào (ví dụ như đọc một tài liệu dài hoặc dữ liệu cấu trúc) và Decoder sau đó sử dụng thông tin đó để ""sinh"" ra kết quả [trang 137].
*   **Không phải cuộc đua thay thế, mà là lựa chọn công cụ:** Trong bản đồ GenAI hiện nay, chúng ta chọn model dựa trên yêu cầu [trang 123]. Nếu bạn cần một ứng dụng tập trung vào *reasoning*, sinh văn bản sáng tạo hay điều khiển Agent, Decoder-only là ""vua"" [trang 122, 137]. Nếu bạn cần một hệ thống xử lý ngôn ngữ truyền thống, phân tích dữ liệu văn bản với độ chính xác cao về ngữ cảnh 2 chiều, Encoder-based vẫn rất mạnh mẽ và đôi khi tiết kiệm chi phí hơn nhiều [trang 122, 137].

Tóm lại, Decoder-only thắng thế trong thế giới LLM hiện nay nhờ sự đa năng và khả năng mở rộng quy mô, nhưng Encoder-Decoder vẫn là một ""chuyên gia"" không thể thiếu trong các bài toán cần chiều sâu phân tích ngữ cảnh [trang 135, 137].",review_concept,,True
T11055,2026-09-11 11:51,S0377,D01,Day01,"(Đang học phần “Task 1.1 — Gọi model và đo độ trễ” của buổi này)
bạn hãy giúp tôi trả lời các câu hỏi sau. Hãy trả lời một cách ngắn gọn
### Câu 1.1 — Độ nhạy của temperature
Gọi `call_openai` với temperature 0.0, 0.5, 1.0 và 1.5 dùng prompt
**""Hãy kể cho tôi một sự thật thú vị về Việt Nam.""**

**Bạn nhận thấy quy luật gì qua bốn phản hồi?** (2–3 câu)
> *Câu trả lời của bạn*

### Câu 1.2 — Chọn temperature cho sản phẩm
**Bạn sẽ đặt temperature bao nhiêu cho chatbot hỗ trợ khách hàng, và tại sao?**
> *Câu trả lời của bạn*

### Câu 1.3 — Đánh đổi chi phí
Kịch bản: 10.000 người dùng hoạt động mỗi ngày, mỗi người gọi API 3 lần,
mỗi lần trung bình ~350 token đầu ra.

**Ước tính GPT-4o đắt hơn GPT-4o-mini bao nhiêu lần cho workload này? Nêu một
trường hợp GPT-4o xứng đáng với chi phí và một trường hợp nên dùng mini:**
> *Câu trả lời của bạn*","Chào [HV], dưới đây là các giải đáp cho bài tập của em:

**Câu 1.1 — Độ nhạy của temperature**
Khi temperature tăng, câu trả lời trở nên đa dạng, sáng tạo nhưng ít dự đoán trước được hơn. Ở mức 0.0, phản hồi thường ổn định và mang tính sự thật cao; khi lên tới 1.5, câu trả lời có thể trở nên lan man hoặc thiếu chính xác về nội dung.

**Câu 1.2 — Chọn temperature cho sản phẩm**
Với chatbot hỗ trợ khách hàng, em nên đặt temperature thấp (khoảng 0.0 đến 0.2). Điều này giúp đảm bảo câu trả lời nhất quán, chuyên nghiệp và bám sát dữ liệu thực tế, tránh việc chatbot đưa ra thông tin sai lệch do sự ngẫu hứng.

**Câu 1.3 — Đánh đổi chi phí**
Để biết chính xác mức chênh lệch, em cần lấy giá trên mỗi 1k token của hai model từ tài liệu lab và nhân với tổng số lượng token (10.000 người * 3 lần * 350 token = 10,5 triệu token). 
- GPT-4o xứng đáng khi cần tư duy logic phức tạp, viết nội dung sáng tạo cao cấp.
- GPT-4o-mini tối ưu cho các tác vụ phân loại nhanh, tóm tắt đơn giản hoặc chatbot hỗ trợ cơ bản để tiết kiệm chi phí vận hành lớn.",review_concept,,True
